DATE;HOUR;COAL;FUEL_GAS;SELF_PRODUCER;NUCLEAR;HYDRO;COMBINED_CYCLE;WIND;THERMAL_SOLAR;PHOTOVOLTAIC_SOLAR;RESIDUALS;IMPORT;IMPORT_WITHOUT_MIBEL
04/01/2019;1;3924.1;;;6532.9;2153.4;1286.0;4668.8;20.0;7.1;5149.1;;3205.7
04/01/2019;2;3665.3;;;6548.3;1346.8;1200.0;4698.8;32.0;7.1;5116.0;;2400.0
04/01/2019;3;2698.1;;;6603.1;1133.3;1065.0;4499.5;15.0;7.1;5086.3;;2400.0
04/01/2019;4;2323.0;;;6663.1;1236.0;969.0;4285.9;;7.1;5076.9;;2400.0
04/01/2019;5;2171.7;;;6723.1;1267.8;969.0;4173.6;;7.1;5077.1;;2400.0
04/01/2019;6;2478.0;;;6783.0;1260.3;1065.0;4103.2;;7.1;5080.9;;2448.8
04/01/2019;7;3397.0;;;6825.6;1391.1;1612.9;4026.5;;14.1;5116.4;;2716.4
04/01/2019;8;3697.0;;;6855.6;3594.8;3079.0;4031.6;;16.6;5192.8;;2224.1
04/01/2019;9;3827.1;;;6885.6;5374.0;5579.0;4051.3;;108.5;5264.0;;1675.0
04/01/2019;10;3850.1;;;6915.6;6298.2;5941.0;3790.5;27.0;753.9;5291.6;;1971.8
04/01/2019;11;3850.1;;;6945.6;6650.4;5941.0;3426.3;71.7;1673.9;5281.9;;1808.6
04/01/2019;12;3850.1;;;6975.6;6249.3;5941.0;3000.8;386.4;2308.1;5322.1;;1223.3
04/01/2019;13;3850.1;;;7005.2;5760.2;6011.0;2734.0;817.5;2668.5;5314.4;;936.6
04/01/2019;14;3850.1;;;7035.1;4947.1;6109.0;2522.8;901.2;2820.8;5301.0;;477.9
04/01/2019;15;3850.1;;;7065.1;4614.1;6017.2;2440.0;989.6;2710.9;5302.0;;36.1
04/01/2019;16;3850.1;;;7081.1;3514.8;5897.2;2513.1;1192.7;2243.5;5270.6;;0.0
04/01/2019;17;3850.1;;;7081.1;3594.4;5722.2;2700.1;1327.3;1439.3;5267.0;;0.0
04/01/2019;18;3850.1;;;7081.1;5161.4;5772.2;2985.5;879.6;475.1;5329.0;;808.9
04/01/2019;19;3850.1;;;7081.1;6948.7;5941.0;3180.8;136.5;155.4;5368.3;;1257.0
04/01/2019;20;3850.1;;;7081.1;7312.9;5941.0;3392.1;21.0;185.7;5386.5;;1453.5
04/01/2019;21;3850.1;;;7081.1;6500.8;5891.0;3349.6;22.0;109.7;5384.7;;845.9
04/01/2019;22;3850.1;;;7081.1;4267.5;5602.2;3309.5;16.0;14.3;5360.6;;3277.3
04/01/2019;23;3850.1;;;7081.1;3850.1;5641.1;3409.8;22.0;46.2;5356.4;;2043.2
04/01/2019;24;3850.1;;;7086.7;2959.1;3376.0;3468.2;22.0;14.3;5282.7;;2666.8
01/01/2019;1;1239.0;;;6059.2;3087.2;675.0;4602.4;5.0;7.1;4408.0;;2524.3
01/01/2019;2;1058.0;;;6059.2;2851.7;599.0;4459.6;5.0;7.1;4412.4;;2400.0
01/01/2019;3;987.0;;;6059.2;2193.2;425.0;4326.8;15.0;7.1;4434.4;;2400.0
01/01/2019;4;807.0;;;6059.2;1511.3;404.0;4213.9;15.0;7.1;4440.8;;2400.0
01/01/2019;5;807.0;;;6059.2;1407.4;389.0;4059.7;5.0;7.1;4408.4;;2400.0
01/01/2019;6;807.0;;;6059.2;1603.0;389.0;3921.6;;7.1;4400.5;;2400.0
01/01/2019;7;807.0;;;6059.2;1597.9;434.0;3902.3;5.0;14.1;4406.2;;2400.0
01/01/2019;8;807.0;;;6059.2;1637.3;519.0;3882.7;30.0;34.0;4447.4;;2400.0
01/01/2019;9;807.0;;;6059.2;1710.7;519.0;3836.0;30.0;153.4;4476.2;;2400.0
01/01/2019;10;837.0;;;6059.2;1762.4;669.0;3405.5;76.7;853.8;4481.7;;2400.0
01/01/2019;11;1017.0;;;6059.2;1853.2;979.0;3081.0;196.6;1863.6;4478.6;;2655.6
01/01/2019;12;1197.0;;;6059.2;1982.7;1059.0;2708.9;640.4;2657.0;4545.9;;2400.0
01/01/2019;13;1315.1;;;6059.2;2209.0;1234.7;2398.2;953.4;2996.5;4550.6;;2400.0
01/01/2019;14;1315.1;;;6059.2;2438.6;1239.0;2226.8;984.5;3058.9;4548.4;;2400.0
01/01/2019;15;1315.1;;;6059.2;2382.5;1239.0;2285.8;1044.9;2896.3;4543.0;;2400.0
01/01/2019;16;1315.1;;;6059.2;2187.1;979.0;2370.9;1212.2;2447.2;4541.3;;2400.0
01/01/2019;17;1315.1;;;6059.2;2224.0;979.0;2508.4;1301.4;1570.0;4536.2;;2400.0
01/01/2019;18;1315.1;;;6059.2;2892.8;1108.0;3003.4;840.8;534.9;4575.7;;2537.3
01/01/2019;19;1315.1;;;6059.2;3742.9;1239.0;3635.3;225.9;160.0;4607.7;;3896.1
01/01/2019;20;1315.1;;;6059.2;4029.8;1239.0;4256.7;99.8;149.2;4611.3;;4154.9
01/01/2019;21;1315.1;;;6059.2;4175.3;1239.0;4921.9;59.9;133.9;4626.6;;4446.6
01/01/2019;22;1315.1;;;6059.2;4332.4;1239.0;5615.5;59.9;133.7;4640.0;;3717.2
01/01/2019;23;1315.1;;;6059.2;3627.2;1239.0;6193.1;60.9;133.9;4672.9;;3250.5
01/01/2019;24;1315.1;;;6059.2;2674.0;1213.8;6743.4;72.1;134.0;4682.0;;2400.0
